name_fr,name_nl,gender,wikidata,type
"Avenue Albert-Elisabeth",Albert-Elisabethlaan,+,Q55008046;Q235186,relation
"Avenue Pierre et Marie Curie","Pierre en Marie Curielaan",+,Q37463;Q7186,relation
"Avenue Tedesco",Tedescolaan,+,Q91870858;Q91870861;Q91871003,way
"Rue Albert et Marie-Louise Servais-Kinet","Albert en Marie-Louise Servais-Kinetstraat",+,Q89366028;Q89366128,relation
"Allée Clara Clairbert","Clara Clairbertdreef",F,Q5125964,relation
"Allée Estelle Juste","Estelle Justedreef",F,Q38031104,way
"Allée Irène Vanderlinden","Irène Vanderlindendreef",F,Q86199370,way
"Allée Laura Turner","Laura Turnerdreef",F,Q51230345,way
"Allée Louisa Haerens","Louisa Haerensdreef",F,Q88801975,way
"Allée Louise Van den Plas","Louise Van den Plasdreef",F,Q3263875,relation
"Allée Maud Frère","Maud Frèredreef",F,Q3300098,way
"Allée Rosa Luxembourg","Rosa Luxemburgdreef",F,Q7231,relation
"Allée Suzanne Cocq","Suzanne Cocqdreef",F,Q21645086,way
"Avenue Clémentine",Clementinalaan,F,Q261129,way
"Avenue Éléonore",Eleonorelaan,F,Q57527,relation
"Avenue Ernestine",Ernestinelaan,F,Q87047440,relation
"Avenue Ginette Javaux","Ginette Javauxlaan",F,Q3106728,way
"Avenue Impératrice Charlotte","Keizerin Charlottelaan",F,Q154971,relation
"Avenue Jacqueline Harpman","Jacqueline Harpmanlaan",F,Q371922,way
"Avenue Lenneke Mare","Lenneke Marelaan",F,Q13815118,way
"Avenue Louise",Louizalaan,F,Q237318,way
"Avenue Marguerite Yourcenar","Marguerite Yourcenarlaan",F,Q163118,relation
"Avenue Marie de Hongrie","Maria van Hongarijelaan",F,Q157077,relation
"Avenue Marie la Misérable","Lenneke Marelaan",F,Q13815118,relation
"Avenue Marie-José",Marie-Josélaan,F,Q72919,relation
"Avenue Nellie Melba","Nellie Melbalaan",F,Q237607,relation
"Avenue Notre-Dame","Onze Lieve Vrouwlaan",F,Q345,way
"Avenue Princesse Elisabeth","Prinses Elisabethlaan",F,Q235186,relation
"Avenue Reine Astrid","Koningin Astridlaan",F,Q230238,way
"Avenue Reine Elisabeth","Koningin Elisabethlaan",F,Q235186,way
"Avenue Reine Marie-Henriette","Koningin Maria-Hendrikalaan",F,Q234047,way
"Avenue Sainte-Alix",Sinte-Aleidislaan,F,Q1860408,relation
"Avenue Sainte-Anne",Sint-Annalaan,F,Q164294,way
"Avenue Simone Veil","Simone Veillaan",F,Q298180,way
"Avenue de Castonier","de Castonierlaan",F,Q88385819,way
"Avenue de la Princesse Paola","Prinses Paolalaan",F,Q31129,way
"Boulevard Maria Groeninckx-De May","Maria Groeninckx-De Maylaan",F,Q89488154,relation
"Carrefour Sainte-Anne",Sint-Annakruispunt,F,Q164294,way
"Clos Andrée De Jongh","Andrée de Jonghgaarde",F,Q461027,way
"Clos Andrée Dumont","Andrée Dumontgaarde",F,Q16262799,way
"Clos Ingrid Bergman","Ingrid Bergmangaarde",F,Q43247,relation
"Clos Marilyn Monroe","Marilyn Monroegaarde",F,Q4616,relation
"Drève Aleyde De Brabant","Aleyde Van Brabantdreef",F,Q377613,relation
"Drêve Anna Boch","Anna Bochdreef",F,Q466668,way
"Drève Aurélie Solvay","Aurélie Solvaydreef",F,Q89488177,relation
"Drève Louisa Chaudoir","Louisa Chaudoirdreef",F,Q89488828,relation
"Drève Sainte-Anne",Sint-Annadreef,F,Q164294,relation
"Impasse Sainte-Pétronille",Sint-Petronillagang,F,Q463600,way
"Parvis Notre-Dame",Onze-Lieve-Vrouwvoorplein,F,Q345,relation
"Parvis Sainte-Alix",Sinte-Aleidisvoorplein,F,Q1860408,relation
"Parvis Sainte-Cécile",Sint-Ceciliavoorplein,F,Q80513,relation
"Parvis Sainte-Gudule",Sint-Goedelevoorplein,F,Q267660,way
"Passage Marguerite Yourcenar","Marguerite Yourcenar doorgang",F,Q163118,way
"Passage Simone Signoret","Simone Signoretdoorgang",F,Q106126,way
"Petite Rue Malibran","Korte Malibranstraat",F,Q232783,relation
"Petite Rue Sainte-Anne","Kleine Sint-Annastraat",F,Q164294,relation
"Petite rue Anna Magnani","Kleine Anna Magnanistraat",F,Q56011,way
"Place Akarova",Akarovaplein,F,Q2828943,relation
"Place Andrée Payfa-Fosseprez","Andrée Payfa-Fosseprezplein",F,Q88443623,way
"Place Jo Cox","Jo Coxplein",F,Q19872361,way
"Place Louise",Louizaplein,F,Q237318,relation
"Place Marguerite d'Autriche","Margaretha van Oostenrijkplein",F,Q157100,relation
"Place Marie Janson","Marie Jansonplein",F,Q275821,relation
"Place Marie-José",Marie-Joséplein,F,Q72919,relation
"Place Princesse Elisabeth","Prinses Elisabethplein",F,Q235186,relation
"Place Reine Astrid","Koningin Astridplein",F,Q230238,relation
"Place Reine Fabiola","Koningin Fabiolaplein",F,Q231171,relation
"Place Sainte-Catherine",Sint-Katelijneplein,F,Q179718,relation
"Place Sainte-Gudule",Sinter-Goedeleplein,F,Q267660,way
"Place Séverine",Séverineplein,F,Q453679,relation
"Place Stéphanie",Stefaniaplein,F,Q170197,relation
"Place de la Duchesse de Brabant","Hertogin van Brabantplaats",F,Q234047,relation
"Place de la Reine Paola","Koningin Paolaplein",F,Q31129,relation
"Pont Suzan Daniel","Suzan Danielbrug",F,Q2198159,way
"Quai Reine Astrid","Kw Koningin Astrid",F,Q230238,way
"Rue Akarova",Akarovastraat,F,Q2828943,relation
"Rue Amélie Gomand","Amélie Gomandstraat",F,Q89489801,relation
"Rue Andrée de Jongh","Andrée de Jonghstraat",F,Q461027,way
"Rue Audrey Hepburn","Audrey Hepburnstraat",F,Q42786,relation
"Rue Chantal Akerman","Chantal Akermanstraat",F,Q239823,way
"Rue Christine",Kristinastraat,F,Q167439,relation
"Rue Clémentine",Clementinestraat,F,Q261129,relation
"Rue Edith Cavell","Edith Cavellstraat",F,Q237564,way
"Rue Eliane Vogel-Polsky","Eliane Vogel-Polskystraat",F,Q50348436,way
"Rue Élise",Elizastraat,F,Q89490193,relation
"Rue Fernande Volral","Fernande Volralstraat",F,Q16262717,relation
"Rue Gabrielle Petit","Gabrielle Petitstraat",F,Q468263,relation
"Rue Gatti de Gamond","Gatti de Gamondstraat",F,Q2407913,way
"Rue Hélène Ryckmans","Hélène Ryckmansstraat",F,Q88580726,relation
"Rue Isala Van Diest","Isala Van Dieststraat",F,Q2551409,way
"Rue Juliette Wytsman","Juliette Wytsmanstraat",F,Q3189783,relation
"Rue Lola Bobesco","Lola Bobescostraat",F,Q2370033,relation
"Rue Marguerite Bervoets","Marguerite Bervoetsstraat",F,Q3290678,relation
"Rue Marguerite Van de Wiele","Marguerite Van de Wielestraat",F,Q3290746,relation
"Rue Maria Malibran","Maria Malibranstraat",F,Q232783,relation
"Rue Maria Tillmans","Maria Tillmansstraat",F,Q88466498,relation
"Rue Marie Depage","Marie Depagestraat",F,Q1897303,relation
"Rue Marie Popelin","Marie Popelinstraat",F,Q2627259,way
"Rue Marie de Bourgogne","Maria van Bourgondiëstraat",F,Q157073,relation
"Rue Marie-Christine",Maria-Christinastraat,F,Q167439,relation
"Rue Marie-Henriette",Maria-Hendrikastraat,F,Q234047,relation
"Rue Marie-Thérèse",Maria-Theresiastraat,F,Q131706,relation
"Rue Marlène Dietrich","Marlène Dietrichstraat",F,Q4612,relation
"Rue Médori",Médoristraat,F,Q86971541,relation
"Rue Notre-Dame",Onze-Lieve-Vrouwstraat,F,Q345,relation
"Rue Princesse Clémentine","Prinses Clementinastraat",F,Q261129,relation
"Rue Romanie Van Dyck","Romanie Van Dyckstraat",F,Q88581278,relation
"Rue Rosalie Uyttenhove","Rosalie Uyttenhovestraat",F,Q85540711,relation
"Rue Royale-Sainte-Marie","Koninklijke Sinte-Mariastraat",F,Q345,relation
"Rue Sainte-Anne",Sint-Annastraat,F,Q164294,way
"Rue Sainte-Catherine",Sint-Katelijnestraat,F,Q179718,way
"Rue Sainte-Elisabeth",Sint-Elisabethstraat,F,Q235849,relation
"Rue Sainte-Gertrude",Sint-Geertruidestraat,F,Q235619,relation
"Rue Sainte-Marie",Sint-Mariastraat,F,Q345,relation
"Rue Sainte-Thérèse",Sint-Theresiastraat,F,Q174880,relation
"Rue Stéphanie",Stefaniastraat,F,Q170197,relation
"Rue Van Gulick","Van Gulickstraat",F,Q89490401,relation
"Rue Virginie Plas","Virginie Plasstraat",F,Q84347503,way
"Rue Yvonne Jospa","Yvonne Jospastraat",F,Q3574207,relation
"Rue Yvonne Nèvejean","Yvonne Nèvejeanstraat",F,Q2907465,way
"Rue de Sévigné","de Sévignéstraat",F,Q237103,relation
"Rue de la Madeleine",Magdalenasteenweg,F,Q63070,relation
"Square Clémentine",Clementinasquare,F,Q261129,relation
"Square Elsa Frison","Elsa Frisonsquare",F,Q89490926,relation
"Square Joséphine-Charlotte",Joséphine-Charlottesquare,F,Q160984,relation
"Square Marguerite",Margaretasquare,F,Q79158,relation
"Square Marie Curie","Marie Curiesquare",F,Q7186,relation
"Square Marie-José",Marie-Joséplein,F,Q72919,relation
"Square Marie-Louise",Maria-Louizasquare,F,Q157491,relation
"Square Maurane",Mauranesquare,F,Q509029,way
"Square Princesse Jean de Mérode","Prinses Jean de Mérodeplein",F,Q88582478,way
"Tunnel Louise",Louizatunnel,F,Q237318,way
"Allée Albert Dasnoy","Albert Dasnoydreef",M,Q2831077,way
"Allée André Franquin","André Franquindreef",M,Q281411,way
"Allée André Willequet","André Willequetdreef",M,Q523419,way
"Allée Bob De Moor","Bob De Moordreef",M,Q262460,way
