Allée Albert Dasnoy,Albert Dasnoydreef,M
Allée André Franquin,André Franquindreef,M
Allée André Willequet,André Willequetdreef,M
Allée Bob De Moor,Bob De Moordreef,M
Allée Charles Viane,Charles Vianedreef,M
Allée Christian de Duve,Christian de Duve Dreef,M
Allée Clara Clairbert,Clara Clairbertdreef,F
Allée Claude Lyr,Claude Lyrdreef,M
Allée Estelle Juste,Estelle Justedreef,F
Allée Fernand Dineur,Fernand Dineurdreef,M
Allée Gaston Bertrand,Gaston Bertranddreef,M
Allée Henri Quittelier,Henri Quittelierdreef,M
Allée Henri Roidot,Henri Roidotdreef,M
Allée Hergé,Hergédreef,M
Allée Irène Vanderlinden,Irène Vanderlindendreef,F
Allée Jacques Brel,Jacques Breldreef,M
Allée Jacques Wiener,Jacques Wienerdreef,M
Allée Jean de La Fontaine,Jean de la Fontainelaan,M
Allée Jean-Michel Charlier,Jean-Michel Charlierdreef,M
Allée Jef Dutillieu,Jef Dutillieudreef,M
Allée John Cluysenaar,John Cluysenaardreef,M
Allée John Wiggin,John Wiggindreef,M
Allée Jos Albert,Jos Albertdreef,M
Allée José Dierickx,José Dierickxdreef,M
Allée Kurt Peiser,Kurt Peiserdreef,M
Allée Laura Turner,Laura Turnerdreef,F
Allée Léandre Grandmoulin,Léandre Grandmoulindreef,M
Allée Léon Londot,Léon Londotdreef,M
Allée Louisa Haerens,Louisa Haerensdreef,F
Allée Louise Van den Plas,Louise Van den Plasdreef,F
Allée Maud Frère,Maud Frèredreef,F
Allée Nardo Lenaerts,Nardo Lenaertsdreef,M
Allée Nicolas de Staël,Nicolas de Staëldreef,M
Allée Omer Dierickx,Omer Dierickxdreef,M
Allée Paul Auguste Masui,Paul Auguste Masuidreef,M
Allée Paul Craps,Paul Crapsdreef,M
Allée Paul Ooghe,Paul Ooghedreef,M
Allée Peyo,Peyodreef,M
Allée Philibert Cockx,Philibert Cockxdreef,M
Allée Pierre Culliford dit Peyo,Pierre Culliford dit Peyodreef,M
Allée Pierre Levie,Pierre Leviepad,M
