streetname,gender
"Place Reine Astrid - Koningin Astridplein",F
"Rue Rosalie Uyttenhove - Rosalie Uyttenhovestraat",F
"Rue Amélie Gomand - Amélie Gomandstraat",F
"Rue Fernande Volral - Fernande Volralstraat",F
"Rue Decrée - Decréestraat",F
"Rue de la Madeleine - Magdalenasteenweg",F
"Rue Audrey Hepburn - Audrey Hepburnstraat",F
"Rue Marlène Dietrich - Marlène Dietrichstraat",F
"Clos Marilyn Monroe - Marilyn Monroegaarde",F
"Clos Ingrid Bergman - Ingrid Bergmangaarde",F
"Petite Rue Sainte-Anne - Kleine Sint-Annastraat",F
"Avenue Marie-José - Marie-Josélaan",F
"Place Séverine - Séverineplein",F
"Square Marie-José - Marie-Joséplein",F
"Square Joséphine-Charlotte - Joséphine-Charlottesquare",F
"Drève Louisa Chaudoir - Louisa Chaudoirdreef",F
"Drève Soetkin - Soetkindreef",F
"Rue Lola Bobesco - Lola Bobescostraat",F
"Square Marie Curie - Marie Curiesquare",F
"Rue Royale-Sainte-Marie - Koninklijke Sinte-Mariastraat",F
"Avenue Princesse Elisabeth - Prinses Elisabethlaan",F
"Avenue Marie la Misérable - Lenneke Marelaan",F
"Place Princesse Elisabeth - Prinses Elisabethplein",F
"Rue Marguerite Van de Wiele - Marguerite Van de Wielestraat",F
"Rue Sainte-Gertrude - Sint-Geertruidestraat",F
"Square Marguerite - Margaretasquare",F
"Square Marie-Louise - Maria-Louizasquare",F
"Allée Clara Clairbert - Clara Clairbertdreef",F
"Avenue Artémis - Artemislaan",F
"Rue Marie de Bourgogne - Maria van Bourgondiëstraat",F
"Square Elsa Frison - Elsa Frisonsquare",F
"Rue Maria Malibran - Maria Malibranstraat",F
"Avenue Nellie Melba - Nellie Melbalaan",F
"Rue Marie-Henriette - Maria-Hendrikastraat",F
"Rue Clémentine - Clementinestraat",F
"Petite Rue Malibran - Korte Malibranstraat",F
"Avenue Marguerite Yourcenar - Marguerite Yourcenarlaan",F
"Rue Élise - Elizastraat",F
"Avenue Jeanne - Johannalaan",F
"Avenue Ernestine - Ernestinelaan",F
"Rue Juliette Wytsman - Juliette Wytsmanstraat",F
"Place Marie-José - Marie-Joséplein",F
"Rue Mercelis - Mercelisstraat",F
"Rue Maria Tillmans - Maria Tillmansstraat",F
"Place Reine Fabiola - Koningin Fabiolaplein",F
"Avenue Marie de Hongrie - Maria van Hongarijelaan",F
"Place Marguerite d'Autriche - Margaretha van Oostenrijkplein",F
"Place de la Reine Paola - Koningin Paolaplein",F
"Parvis Sainte-Cécile - Sint-Ceciliavoorplein",F
"Rue du Parc Elisabeth - Elisabethparkstraat",F
